Innings Player,Innings Boundary Sixes,Innings Date,Country
AD Hales,6,2014/03/27,England
DJ Malan,6,2019/11/08,England
LJ Wright,6,2012/09/21,England
AD Hales,4,2012/06/24,England
AD Hales,2,2013/08/31,England
EJG Morgan,7,2019/11/08,England
JE Root,1,2013/08/29,England
SW Billings,3,2019/03/08,England
EJG Morgan,5,2009/11/13,England
JE Root,4,2016/03/18,England
AD Hales,4,2013/02/15,England
EJG Morgan,6,2018/02/18,England
PD Collingwood,4,2007/06/28,England
KP Pietersen,4,2007/09/13,England
JJ Roy,2,2016/03/30,England
DJ Malan,2,2017/06/25,England
LJ Wright,5,2012/09/29,England
EJG Morgan,7,2015/08/31,England
KP Pietersen,2,2010/05/06,England
JC Buttler,4,2016/07/05,England
MM Ali,3,2015/08/31,England
ME Trescothick,1,2006/06/15,England
EJG Morgan,5,2012/09/27,England
LJ Wright,0,2009/06/05,England
EJG Morgan,7,2014/09/07,England
JJ Roy,3,2020/02/12,England
JC Buttler,2,2018/07/03,England
JJ Roy,6,2018/10/27,England
AD Hales,2,2012/09/27,England
JE Root,1,2015/06/23,England
JM Bairstow,2,2019/03/05,England
EJG Morgan,2,2010/02/19,England
SR Patel,2,2012/10/01,England
JC Buttler,3,2014/03/11,England
JJ Roy,1,2017/06/23,England
JJ Roy,7,2018/07/08,England
JC Buttler,2,2016/03/26,England
AD Hales,2,2014/05/20,England
RS Bopara,7,2014/01/29,England
JM Bairstow,3,2020/02/16,England
C Kieswetter,2,2010/05/16,England
MJ Lumb,2,2014/03/13,England
AD Hales,1,2011/09/23,England
KP Pietersen,1,2012/02/27,England
KP Pietersen,3,2010/02/20,England
JC Buttler,5,2018/06/27,England
IR Bell,1,2008/06/13,England
JM Bairstow,2,2012/02/25,England
JM Bairstow,2,2017/06/21,England
RS Bopara,1,2012/06/24,England
DJ Malan,2,2018/02/13,England
JM Vince,2,2019/11/01,England
C Kieswetter,2,2011/09/23,England
AD Hales,3,2018/07/06,England
KP Pietersen,3,2009/06/07,England
EJG Morgan,3,2019/05/05,England
EJG Morgan,7,2020/02/16,England
PD Collingwood,4,2009/11/13,England
EJG Morgan,2,2014/03/27,England
JC Buttler,2,2020/02/16,England
AD Hales,2,2012/12/20,England
OA Shah,0,2007/06/29,England
RS Bopara,0,2009/06/15,England
EJG Morgan,3,2010/05/03,England
JE Root,0,2019/03/08,England
DJ Malan,1,2019/11/05,England
PD Collingwood,3,2008/02/07,England
JC Buttler,1,2013/02/12,England
JC Buttler,4,2016/02/21,England
JE Root,0,2016/04/03,England
MJ Lumb,5,2013/02/15,England
ME Trescothick,0,2006/08/28,England
KP Pietersen,1,2010/05/08,England
KP Pietersen,3,2011/10/29,England
SW Billings,2,2015/11/26,England
DJ Malan,5,2018/02/18,England
LJ Wright,1,2013/06/25,England
EJG Morgan,1,2020/02/12,England
IJL Trott,3,2009/11/15,England
EJG Morgan,4,2017/01/26,England
DL Maddy,2,2007/09/18,England
C Kieswetter,3,2012/09/12,England
MJ Lumb,2,2012/12/22,England
DJ Malan,2,2018/02/07,England
EJG Morgan,2,2012/12/22,England
EJG Morgan,1,2011/08/31,England
AD Hales,2,2018/06/27,England
JM Vince,1,2019/11/05,England
JE Root,2,2016/03/16,England
TT Bresnan,1,2014/03/09,England
EJG Morgan,2,2016/07/05,England
AD Hales,2,2017/06/21,England
BA Stokes,2,2020/02/14,England
OA Shah,2,2008/02/07,England
KP Pietersen,1,2010/05/16,England
EJG Morgan,3,2011/06/25,England
JM Bairstow,1,2017/06/23,England
AD Hales,3,2018/02/13,England
JE Root,0,2019/05/05,England
JM Bairstow,5,2019/11/10,England
JE Root,0,2017/01/26,England
PD Collingwood,2,2005/06/13,England
RS Bopara,0,2009/06/05,England
KP Pietersen,1,2009/06/14,England
EJG Morgan,3,2013/02/09,England
JM Vince,1,2015/11/30,England
JC Buttler,0,2018/02/10,England
LJ Wright,4,2010/05/03,England
EJG Morgan,1,2015/11/26,England
EJG Morgan,0,2010/05/04,England
RS Bopara,1,2013/08/29,England
JJ Roy,0,2018/06/27,England
KP Pietersen,0,2010/02/19,England
VS Solanki,1,2007/09/19,England
KP Pietersen,1,2008/02/05,England
EJG Morgan,1,2011/01/12,England
MJ Lumb,1,2013/08/31,England
JJ Roy,3,2016/03/18,England
AD Hales,1,2017/09/16,England
KP Pietersen,0,2008/06/13,England
KP Pietersen,2,2010/05/13,England
AD Hales,1,2012/12/22,England
LJ Wright,4,2013/02/09,England
RS Bopara,1,2014/03/09,England
JJ Roy,2,2016/03/26,England
JE Root,2,2017/02/01,England
MM Ali,1,2016/03/23,England
ME Trescothick,0,2005/06/13,England
C Kieswetter,2,2010/05/08,England
KP Pietersen,2,2011/06/25,England
JM Vince,1,2015/11/26,England
P Mustard,3,2008/02/07,England
EJG Morgan,1,2010/05/10,England
AD Hales,2,2014/03/11,England
AD Hales,3,2014/09/07,England
EJG Morgan,3,2017/02/01,England
JJ Roy,2,2020/02/14,England
KP Pietersen,1,2007/09/19,England
IJL Trott,0,2010/02/20,England
C Kieswetter,2,2010/05/13,England
IR Bell,0,2011/01/14,England
RS Bopara,1,2012/02/23,England
AD Hales,1,2013/06/25,England
DJ Malan,2,2019/11/03,England
MM Ali,4,2020/02/14,England
EJG Morgan,0,2010/09/05,England
OA Shah,2,2009/06/11,England
JM Bairstow,2,2013/02/09,England
AD Hales,1,2014/03/13,England
AD Hales,1,2014/03/29,England
JM Vince,2,2015/11/27,England
EJG Morgan,4,2016/02/21,England
JE Root,0,2017/01/29,England
BA Stokes,2,2017/01/29,England
PD Collingwood,2,2007/09/13,England
RS Bopara,1,2009/06/14,England
CR Woakes,3,2015/11/30,England
AD Hales,0,2016/09/07,England
JM Bairstow,2,2019/03/10,England
OA Shah,2,2007/09/16,England
MM Ali,1,2014/03/22,England
JC Buttler,3,2016/04/03,England
AD Hales,2,2017/06/25,England
JM Vince,1,2019/05/05,England
CJ Jordan,3,2019/11/03,England
MH Yardy,0,2010/09/05,England
C Kieswetter,2,2012/09/23,England
JE Root,0,2018/06/27,England
JM Bairstow,1,2019/11/01,England
JM Bairstow,3,2020/02/14,England
EJG Morgan,1,2019/11/01,England
KP Pietersen,1,2005/06/13,England
LJ Wright,1,2009/06/07,England
GP Swann,1,2012/10/01,England
LJ Wright,1,2012/12/20,England
EJG Morgan,2,2014/02/02,England
JC Buttler,1,2014/03/29,England
JE Root,2,2016/02/21,England
JC Buttler,0,2018/07/08,England
JC Buttler,3,2012/12/20,England
AJ Strauss,0,2006/06/15,England
OA Shah,1,2009/06/07,England
IJL Trott,0,2009/11/13,England
